Loại Kiến Thức,TT,QUESTIONS,A,B,C,D,ANS,rating
,709,"According to Radar Vectoring Altitude Chart in Tan 
Son Nhat TMA, the minimum altitude shall be ........
 in the area between 000° radial and 100° radial ; and
 in the range of  65 km and  110 km from TSN VOR. ",1050 m,1200 m,1500 m,2100 m,2,SUP
,710,What is the category of ILS system RWY 25R ?,I,II,III,None of above,1,SUP
,711,"According to Radar Vectoring Altitude Chart in Tan Son Nhat TMA, the minimum altitude shall be ........ in the area between 000° radial and 100° radial ; and in the range of  65 km and  110 km from TSH VOR.  ",1050 m,1200 m,1500 m,2100 m,2,SUP
,712,"According to Radar Vectoring Altitude Chart in Tan Son Nhat TMA, the minimum altitude shall be ........ in the area between 100° radial and 150° radial ; and in the range of  45 km and  110 km from  TSH VOR.",450 m,600 m,900 m,1200m,3,SUP
,713,,,,,,,SUP
,714, Minimum sector altitude in TSN is:,"850m in North West sector, 600m in South East sector","850m in West sector, 600m in East sector","850m in North West sector, 600m in South East sector",850m,4,SUP
,715, Airspace of Vũng Tàu is defined:,A circle with radius of 10km from VTV VOR and from GND/Water level up to 1500m.,A circle with radius of 10km from VTV VOR and from GND/Water level up to 900m.,A circle with radius of 10km from XVL NDB and from GND/Water level up to 1500m.,A circle with radius of 10km from XVL NDB and from GND/Water level up to 900m,1,SUP
,716,"TSN TMA is a circle with radius … centred on TSH DVOR/DME, except the Airspace within PhnomPenh FIR.",25 NM (46 km),40 NM (75 km),60 NM (111 km),80NM (148 km),2,SUP
,717,W1’s track (segment from  TSH DVOR/DME to AC),78,85,128,135,1,SUP
,718,W8’s track (segment from  TSH DVOR/DME to MISAN),294,250,241,231,3,SUP
,719,W9’s track (segment from TSH DVOR/DME to   XOBAV),271° TRUE,001° TRUE,181° TRUE,091° TRUE,3,SUP
,720,W9’s minimum flight altitude is:,300 m,450 m,600 m,2150m,4,SUP
,721,W16’s minimum flight altitude is:,300 m,450 m,600 m,1200m,4,SUP
,722,W16’s track (segment from  TSH DVOR/DME to  ENPAS),132° TRUE,232° TRUE,052° TRUE,332° TRUE,2,SUP
,723,W19’s track (segment from  TSH DVOR/DME to VUNGTAU DVOR/DME),128,136,181,215,2,SUP
,724, XOBAV holding area has inbound track and minimum holding altitude:,"Inbound 035°, MHA FL100","Inbound track 001° or 181°; minimum holding altitude reference FL070 or 1,200 m, subject to the current chart","Inbound 090°, MHA FL120","Inbound 270°, MHA FL060",2,SUP
,725,BITIS holding area has inbound track and minimum holding altitude:,305°; FL140,035°; FL100,215°; FL050,135°; FL145,2,SUP
,726, BACHU holding area has inbound track and minimum holding altitude:,As published on the current TSN STAR or Point Merge chart,"Inbound 035°, MHA FL100","Inbound 181°, MHA 900 m","Inbound 232°, MHA FL070",1,SUP
,727,Who have the right to open an airport or aerodrome based on the airport or aerodrome system plans?,The Prime Minister,The Minister of Transport,The Director of Airport Authority,None of above,1,SUP
,728,Who shall decide to establish the prohibited and restricted areas in the territory of VietNam?,The Ministry of National Defense,The Ministry of Transport,The Prime Minister,The Ministry of Foreign Affairs,3,SUP
,729,"Whenever the usage of 2 parallel RWY07 occurs, departure aircraft can take-off on RWY07L:",The arrival has landed assured on RWY07R,The arrival has landed assured on RWY07R or 03 minutes before ETA of arrival in non-radar environment,The arrival has landed assured on RWY07R and the WX reported in VMC,None of the above,2,SUP
,730,"Whenever the usage of 2 parallel RWY25 occurs, departure aircraft on RWY25L is allowed to take off when:","The arrival vacated RWY25R, and received the clearance to hold short of RWY25L",The arrival seemed to be landing assured and received the clearance to hold short of RWY25L,The arrival has landed assured on RWY25R or 03 minutes before ETA of arrival in non-radar environment,The arrival was approaching to land RWY25R,3,SUP
,731,Fuel dumping area in TSN APP TMA is:,"Named Rang Rang, minimum altitude in area is 600m, and required approval from Biên Hòa commander","Named Rang Rang, minimum altitude in area is 1500m, and required approval from Biên Hòa commander","Named Rang Rang, minimum altitude entering in the area is 600m, and required approval from ATC","Named Rang Rang, minimum altitude entering in the area is 1500m, and required approval from Biên Hòa commander",2,SUP
,732,"In Decree 125/2015 / ND-CP, domestic routes are used for:",Dommestic flights only,Dommestic and international flights,International flights only,None of the above,1,SUP
,733," In Decree 125/2015 / ND-CP, international routes are used for:",Dommestic flights only,Dommestic and international flights,International flights only,None of the above,2,SUP
,734,"When VIP arrives, the reserved RWY for VIP flight will be available: ",When VIP flight stops at the parking,After VIP flight vacates the RWY,05 minutes after VIP flight lands,None of the above,2,SUP
,735,"When VIP departs, the reserved RWY for VIP flight will be available:",03 minutes after VIP flight takes off,After VIP flight is airborne,05 minutes after VIP flight takes off,None of the above,2,SUP
,736,How many years in experience can a controller handle VIP flight?,One year,Two years,Three years,Four years,3,SUP
,737, The saperation between the two VIP flights is applied:,As in permanent Air Regulation,As standards,As double separation,None of the above,1,SUP
,738,"In point merge procedure, BITIS holding area has inbound track and minimum holding altitude :",029⁰; 8000FT,035⁰; 5000FT,029⁰; 10000FT,035⁰; FL200,1,SUP
,739,"In point merge procedure, VICAL holding area has inbound track and minimum holding altitude :",001⁰; 7000FT,001⁰; 8000FT,181⁰; 7000FT,181⁰; 9000FT,1,SUP
,740,"In point merge procedure, NOKUM holding area has inbound track and minimum holding altitude :",113⁰; 12000FT,293⁰; 12000FT,113⁰; 14000FT,293⁰; 14000FT,1,SUP
,741,What is the frequency of NDB AC ?,320 KHz,320 MHz,230 KHz,230 MHz,1,SUP
,742, What is the frequency of DVOR/DME  TSH ?,118.7 MHz,118.7 KHz,116.7 MHz,116.7 KHz,3,SUP
,743,What is the frequency of LOC 25R ?,108.3 KHz,108.3 MHz,110.5 KHz,110.5 MHz,4,SUP
,744,The distance from the threshold RWY 25R to GP of ILS system 25R is:,314m,320m,431m,120m,1,SUP
,745, What is the frequency of LOC 25L ?,108.3 MHz,108.3 KHz,110.5 KHz,110.5 MHz,1,SUP
,746,The distance from the threshold RWY 25L to GP of ILS system 25L is:,300m,314m,112m,321m,1,SUP
,747,PSR stands for:,Primary surveillance radar,Primary radar,Primary system radar,Primary and secondary surveillance radar,1,SUP
,748,SSR stands for:,Secondary Radar,Secondary system Radar,Secondary surveillance Radar,None of above,3,SUP
,749,VHF equipment of TSN military frequency 134.0 MHz include:,"2 main unit, 2 standby unit use for each frequency, convert automatically or manually put in equipment room and connected with VCCS system.","2 main unit, 1 standby unit use for each frequency, convert automatically or manually put in equipment room and connected with VCCS system.","1 main unit, 2 standby unit use for each frequency, convert automatically or manually put in equipment room and connected with VCCS system.","1 main unit, 1 standby unit use for each frequency, convert automatically or manually put in equipment room and connected with VCCS system",4,SUP
,750, VHF equipment of TSN military frequency 121.0 MHz include:,"1 main unit, 1 standby unit use for each frequency, convert automatically or manually put in equipment room and connected with VCCS system.","2 main unit, 1 standby unit use for each frequency, convert automatically or manually put in equipment room and connected with VCCS system.","1 main unit, 2 standby unit use for each frequency, convert automatically or manually put in equipment room and connected with VCCS system.","2 main unit, 2 standby unit use for each frequency, convert automatically or manually put in equipment room and connected with VCCS system.",1,SUP
